Sample,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266
Label,CT,CT,CT,CT,HF,HF,HF,HF
PE 32_0,20756.11578,22680.84561,17242.55078,33670.1597,10433.66155,18938.73591,13153.75498,16582.01042
PE 44_12,379013.3813,243973.2514,131366.8276,196268.6548,191178.4191,168713.4969,131440.8363,288367.4269
PE 35_4,15599.08847,12631.55134,10644.37185,14527.41428,20391.30023,22889.61722,13439.87858,31993.42704
PE 34_6,39022.64614,39340.90616,8165.980674,2524.080968,6547.253918,3813.717428,1948.194363,2915.541133
plasmenyl-PE 40_6,624344.2056,716589.3873,749070.2921,1042306.051,870826.7945,908570.883,661172.4244,752059.1983
plasmenyl-PE 38_6,713381.4126,781423.6833,739251.9153,696374.5301,893342.9345,925038.7704,1030119.455,1255179.92
plasmenyl-PE 38_4,3119965.247,2350597.061,2075164.444,2777177.964,2964105.527,3547002.907,2947732.884,3966144.837
plasmenyl-PE 36_2,209690.1765,295931.8416,241477.726,315697.5241,205115.8169,279251.7173,208757.244,192772.67
plasmenyl-PE 40_4,767301.8884,645357.3895,645080.0053,542172.7235,948621.2186,807683.9103,997611.7093,1423046.479
plasmenyl-PE 36_4,633510.576,619360.0323,555928.4791,622210.149,689054.367,783381.9388,815813.5655,855038.7954
plasmenyl-PE 38_2,306287.9846,201717.9911,127576.8197,106829.6721,116411.7834,160993.6505,92512.65614,137903.8624
plasmenyl-PE 42_6,55393.69612,45519.34441,119692.9182,115584.8857,86977.43804,54583.7224,42759.15945,71187.88572
plasmenyl-PE 34_2,22692.88022,38521.22812,31029.54132,22103.75146,19616.33071,28671.60324,24127.43252,30781.53392
plasmenyl-PE 18_0,149860.8144,122954.4144,108624.5867,125108.2278,89626.83376,230697.6208,26760.7692,137005.5652
plasmenyl-PE 42_4,45517.41569,37034.50233,63344.62526,91839.40175,65448.95807,53626.42034,71352.64591,39916.67215
SM 40_2,5187818.995,4353484.688,4323169.47,5960623.622,3262949.234,2956052.345,3292827.01,3075661.818
SM 41_2,2639220.516,3340530.1,2887723.295,3118753.834,2534006.068,2745730.454,2762035.638,3155178.219
