"","Ctrl-BL6-2249","Ctrl-BL6-2250","Ctrl-BL6-2251","Ctrl-BL6-2252","HF-BL6-2260","HF-BL6-2261","HF-BL6-2262","HF-BL6-2266"
"Label","CT","CT","CT","CT","HF","HF","HF","HF"
"TG-48-1"," 6579.473"," 6394.597","25566.342","12424.589","13984.410"," 6214.749"," 7443.454","15776.960"
"TG-58-6","11073.83","19107.07","18761.99","20266.52","24808.78","42125.35","17392.42","31442.25"
"TG-52-1","21130.27","17392.42","44618.43","23252.05","41438.22","24364.85","13764.09","60911.43"
"TG-54-1","249350.0","199472.7","150964.9","171136.2","738451.2","501264.1","527378.3","643967.8"
"TG-58-8","24364.85","37829.23","51683.30","38502.18","81449.03","57697.36","35058.16","56627.37"
"TG-46-0","44618.43","53213.46","62677.13","81449.03","64255.02","39141.49","32362.29","73860.61"
"TG-62-4","1588.421","1705.525","1211.788","1705.525","2067.905","6303.511","6767.311","2975.336"
"TG-46-1"," 2824.906"," 4227.677","20812.672"," 6303.511"," 4879.911"," 3030.367"," 3989.048"," 7255.070"
"TG-40-0","5564.183","3030.367","2433.269","2156.379","6214.749","4100.148","3674.560","4749.891"
"TG-58-1","8306.273","5328.578","4038.996","3187.403","9416.595","6394.597","6214.749","5804.773"
"TG-60-0","241.9356","830.6297","400.5024","830.6297","467.9799","830.6297","729.5892","241.9356"
"CL-78-9","215478.8","327808.3","275364.2","352712.9","162570.3","137437.3","171723.7","145016.7"
"CL-78-3","37628.38","43835.90","37628.38","44959.18","26664.99","27122.98","19549.02","26313.92"
"CL-74-5","124855.2","179588.8","130880.9","162570.3","124855.2","103388.3","152676.4","124855.2"
"CL-72-4","18214.00","31473.60","37031.62","31473.60","20514.12","24616.43","18807.81","27122.98"
"CL-68-2"," 6939.995"," 9395.670","10075.459"," 9093.880","20746.615","16208.613","20223.429"," 8310.423"
"CL-68-1"," 9395.670"," 8441.742","11979.076","10241.289","10241.289","11561.572"," 8814.474"," 6939.995"
"CL-74-9","20514.12","39753.27","29964.15","35667.54","12751.15","21086.85","16751.19","15931.86"
"CL-68-3","3361.275","6071.795","5928.857","4613.185","4383.594","3161.692","3732.482","2773.912"
"CL-78-4","23373.31","17699.30","24616.43","22158.35","23373.31","15931.86","18547.91","19302.11"
"CL-78-0"," 7818.549"," 7195.938"," 9093.880"," 3161.692","12358.265"," 5928.857"," 5051.179"," 6372.297"
"CL-66-3","1890.3350","5292.7651","4508.3922","7927.9694"," 549.5733","2773.9122","2098.0310","3818.1038"
"CL-70-5","22683.95","63655.68","38292.53","49426.62","12592.53","39108.34","30453.77","26664.99"
"CL-78-12"," 6071.795"," 5051.179"," 3563.605"," 4781.571"," 3732.482","10673.824"," 3361.275"," 3956.272"
"CL-80-1","28015.71","82608.80","47003.78","61872.04","63655.68","53149.73","46023.47","70730.20"
"CL-80-9","2555.660","8949.795","6939.995","6939.995","8625.251","5292.765","5687.967","3732.482"
"CL-74-7"," 56431.85","137437.33"," 85954.38"," 99764.88"," 89112.47","130880.86","106651.17"," 92740.76"
"CL-82-11","46023.47","65687.95","39108.34","75321.27","33659.00","51571.00","49426.62","75321.27"
"CL-76-2","1045.8787","2313.8417","1713.0331","1810.1098","4184.6917","2668.0933"," 845.8506"," 549.5733"
"CL-82-9","14071.80","22158.35","13876.79","19549.02","13569.78","13180.35","12592.53","14793.27"
"CL-66-2","2098.031","3956.272","4613.185","2098.031","1810.110","4700.816","2773.912","3563.605"
"CL-78-2","1206.6516","1045.8787","2098.0310","2182.9438","1373.2393","1890.3350"," 549.5733","1206.6516"
"CL-70-4","2313.8417","3161.6917","1890.3350","1568.5206","2773.9122"," 549.5733","1987.2847","1045.8787"
"PA-36-1","103388.29"," 96225.26"," 68608.44"," 85954.38"," 54873.37"," 89112.47","119770.53"," 34322.62"
"PA-40-5","18547.91","23373.31","22384.09","19302.11","10853.12","29964.15","31966.91","15601.57"
"PA-36-2","20223.429","28015.707","16208.613","17942.691","11755.060","40439.096","33089.220"," 9220.827"
"PA-20-2"," 3818.104"," 3266.556"," 5194.877"," 3361.275","10673.824"," 8310.423"," 4613.185"," 2098.031"
"PA-42-7","11561.572","12592.525"," 6648.906","12177.193"," 5051.179","14251.099","12751.154"," 8441.742"
"PA-42-4","12358.26","19030.05","15601.57","10853.12","20223.43","22384.09","15931.86","11381.13"
"PA-44-1","7058.130","4781.571","6486.191","5292.765","2555.660","6372.297","6815.415","2862.238"
"PA-38-4","33659.002","34322.621","18807.806","24616.432","16751.193","32541.350","50346.791"," 9970.051"
"PA-40-6","14519.098","17045.524","17045.524","23789.397"," 7340.048","12177.193","17045.524"," 9093.880"
"PA-38-3","19030.05","24139.79","12751.15","15931.86","19302.11","38292.53","32541.35","10448.37"
"PA-34-2"," 845.8506","1373.2393","1045.8787","1206.6516","1045.8787","1045.8787","1206.6516","1373.2393"
"PA-34-0"," 549.5733"," 549.5733"," 845.8506"," 549.5733","1206.6516","4884.6923","1373.2393","3266.5556"
"PG-36-1","53149.73","46023.47","50346.79","43835.90","65687.95","49426.62","58992.92","49426.62"
"PG-36-4","3732.482","3458.077","4884.692","2965.182","4700.816","1810.110","6242.552","8110.133"
"PG-34-1","31966.91","28482.51","26313.92","38292.53","24139.79","35088.65","29420.06","20514.12"
"PG-38-6"," 7499.107","15931.859","12358.265","21811.903"," 7639.077"," 4781.571"," 8110.133","21446.449"
"PG-32-0"," 4613.185"," 8814.474"," 8949.795"," 7639.077"," 8310.423","12358.265"," 9093.880"," 6242.552"
"PG-40-7","5051.179","4264.790","3458.077","2773.912","3059.624","2862.238","7195.938","4264.790"
"PG-40-8","2182.944","2421.570","2182.944","2313.842","1987.285","1987.285","3161.692","2313.842"
"PG-36-3"," 6648.906"," 6648.906"," 3266.556"," 3637.673"," 2098.031"," 5194.877","10075.459"," 5292.765"
"PG-38-3","1810.110","3637.673","1568.521","3732.482","3818.104","3563.605","7818.549","2182.944"
"PG-36-2","21811.90","19862.49","21446.45","14519.10","16515.34","33089.22","15345.90","12969.11"
"PI-38-3","130880.86","110471.62","119770.53","110471.62","106651.17"," 99764.88"," 92740.76","171723.69"
"PI-34-2","22384.09","23035.28","25925.74","21086.85","30453.77","20746.62","23373.31","40439.10"
"PI-40-6","17942.69","18547.91","16751.19","20514.12","28015.71","25062.28","22683.95","43835.90"
"PI-38-5","32541.35","30879.42","33659.00","30453.77","32541.35","28015.71","43835.90","37628.38"
"PI-36-1","49426.62","35088.65","31966.91","42950.07","19030.05","42950.07","19302.11","82608.80"
"PI-32-1","19302.111","11028.690"," 8814.474","12751.154"," 9970.051"," 7927.969","10673.824","15129.484"
"PI-36-3","18807.81","15345.90","20223.43","13876.79","13876.79","11979.08","19030.05","25062.28"
"PI-40-4","17045.524","17507.976"," 9220.827","18807.806","15601.570","15601.570","15601.570","36354.916"
"PI-40-5","12177.193"," 5561.423","11755.060"," 9754.613","14251.099","19549.022"," 6486.191","13363.445"
"PI-40-7","3458.077","4073.499","2555.660","2668.093","2862.238","2313.842","2555.660","5412.021"
"PS-36-3","24616.43","25502.82","35088.65","26664.99","46023.47","39753.27","47956.04","51571.00"
"PS-38-3"," 67148.19"," 74142.77"," 71847.24"," 69669.32"," 57012.95"," 71847.24"," 74142.77","105019.73"
"PS-40-5","58293.49","54011.55","57012.95","55652.61","52360.37","67148.19","35378.10","47479.91"
"PS-34-2","10448.372","11171.948","13180.350"," 8110.133","14071.801"," 9563.780","11561.572","14519.098"
"PS-42-2"," 71847.24"," 69669.32"," 60432.48"," 64671.81"," 97995.07"," 94483.01"," 81822.80","134159.09"
"PS-44-3","13723.29","14961.38","18380.95","14161.45","22271.22","26489.45","28249.11","23204.30"
"PS-42-8","29420.06","18807.81","21086.85","13363.44","27529.39","13569.78","24139.79","31966.91"
"PS-40-4","50958.90","48691.33","45491.32","47479.91","40927.98","58293.49","55652.61","58293.49"
"PS-44-2"," 9862.332"," 6307.424","11100.319"," 4324.192","13271.897"," 9157.353"," 6999.063","14161.450"
"PS-38-6"," 2862.238"," 3361.275"," 3637.673"," 6486.191","11028.690"," 9970.051"," 9220.827"," 4884.692"
"PS-44-12"," 8310.423"," 7499.107","11381.131"," 8949.795","11171.948"," 5051.179","11755.060","10673.824"
"PS-42-4","76892.75","57012.95","81822.80","79750.51","49886.71","76892.75","64671.81","45491.32"
"PS-38-2","40096.18","33374.11","28647.94","40927.98","28647.94","31176.51","27326.18","32815.28"
"PS-40-7","17302.25","20514.12","27529.39","12592.53","25062.28","23789.40","23035.28","16751.19"
"PS-36-4"," 5412.021"," 3563.605"," 5687.967"," 4184.692"," 8949.795"," 7639.077","10448.372","15345.899"
"PS-38-5"," 8949.7948","10448.3723","12177.1928"," 9220.8271","  845.8506","10448.3723","13363.4446"," 6648.9062"
"PS-42-1"," 7195.938"," 8110.133"," 7927.969"," 6242.552"," 9754.613","15345.899","10853.121","23789.397"
"PS-44-11","7639.077","5194.877","5561.423","8625.251","5928.857","6648.906","9970.051","9754.613"
"PS-34-1","38292.53","44959.18","22158.35","37031.62","42950.07","41416.86","37628.38","37031.62"
"PS-36-1"," 9563.780"," 5687.967"," 9395.670","11171.948","29964.155","19862.494","53149.727","18213.999"
