"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"PC 42_1",5187.78708392857,3904.26020160714,5380.08657803571,7674.84652875,6295.60251607143,3797.53521178571,4003.08042589286,6646.52262571429
"PC 38_9",9828.88380535714,12646.7265160714,10480.6037157143,14590.6986964286,8182.79665892857,10660.3970267857,6547.23283035714,15000.8127196429
"PC 44_11",6295.60251607143,10017.8381107143,15837.7024571429,17470.1654285714,10017.8381107143,13696.6282857143,9518.17948142857,20896.0796607143
"PC 44_8",4129.22620732143,5187.78708392857,4677.01265857143,3176.56450892857,5380.08657803571,2200.30958714286,2200.30958714286,2111.11652232143
"PC 38_0",5830.36731714286,4233.94117535714,6295.60251607143,4233.94117535714,8885.06739660714,8321.50644589286,7818.80072071429,9198.65279285714
"plasmenyl-PC 18_0",372047.992285714,657027.033392857,540163.743267857,847475.440892857,638831.869375,518741.019642857,322976.941964286,540163.743267857
"plasmenyl-PC 38_0",65810.4067678571,83724.0643392857,69235.555,88251.3293035714,91027.3493928571,65810.4067678571,78684.2205,91027.3493928571
"plasmenyl-PC 20_0",48380.7803125,45703.46241875,22221.0978875,45112.8079107143,32037.8654258929,25700.6781982143,20798.9805446429,79135.7028303572
"plasmenyl-PC 38_1",88251.3293035714,114718.668821429,127190.990535714,155129.416142857,97910.0930892857,82936.7736785714,117821.062892857,137903.137857143
"plasmenyl-PC 40_0",16562.38995,14429.5051482143,16562.38995,20184.7195535714,7019.53097964286,14779.4399142857,18146.6995535714,16305.6618767857
"plasmenyl-PC 40_3",11515.6484035714,11031.9292982143,7818.80072071429,16990.3754589286,8321.50644589286,16062.4849892857,15439.1810178571,11031.9292982143
"plasmenyl-PC 24_0",1958.08991857143,2200.30958714286,2200.30958714286,2301.18930267857,2111.11652232143,1801.38623892857,1429.82686803571,2301.18930267857
"plasmenyl-PC 38_5",4677.01265857143,7958.53787553571,8885.06739660714,11664.5865464286,13696.6282857143,6646.52262571429,10821.5161821429,5510.25820196429
"plasmenyl-PC 40_5",1583.11261982143,5707.80606535714,9518.17948142857,5380.08657803571,7446.81342910714,7674.84652875,7674.84652875,7149.45778035714
"PE 36_4",386893.902142857,372047.992285714,365996.245535714,342575.355107143,386893.902142857,365996.245535714,353551.866446429,407758.431857143
"PE 38_6",393477.473428571,459518.717321429,638831.869375,401213.237982143,657027.033392857,571729.962142857,554847.643767857,381549.305160714
"PE 36_3",381549.305160714,485844.163392857,518741.019642857,428359.130321429,729938.209285714,626634.444821429,613608.007821429,386893.902142857
"PE 40_7",247227.189464286,212703.797678571,226122.400535714,161801.384107143,290126.623517857,193773.984285714,243308.448035714,220961.976607143
"PE 34_2",164340.867678571,157757.314821429,285347.296428571,134721.242857143,233684.990357143,180852.8255,220961.976607143,238608.613928571
"PE 38_3",123774.517142857,88251.3293035714,205717.823821429,81740.4788392857,122175.508571429,134721.242857143,159336.401428571,107961.024285714
"PE 40_6",119141.037589286,89732.2299821428,190104.917589286,85871.8150892857,139873.235125,112896.958089286,146110.468035714,104925.049285714
"PE 38_4",708525.935696429,381549.305160714,477320.170892857,372047.992285714,571729.962142857,393477.473428571,527834.730946428,657027.033392857
"PE 34_0",19508.9562589286,28136.8426732143,63343.01875,64910.1661964286,37709.0024642857,46570.3652142857,23786.4344803571,21870.113375
"PE 36_2",217027.624642857,129249.328392857,263002.767857143,122175.508571429,197317.689285714,169170.56625,226122.400535714,257841.348571429
"PE 36_1",6646.52262571429,18324.2519410714,30828.0614821429,28827.6476035714,38222.1059642857,22655.337375,13867.7270535714,11835.7087017857
"PE 38_7",46053.4322303571,25885.5997321429,34346.9940660714,42740.6879821429,53084.9719464286,36345.0238035714,46570.3652142857,44872.1232142857
"PE 40_5",24338.8607678571,23786.4344803571,27852.3630714286,8182.79665892857,24338.8607678571,13867.7270535714,24045.4217035714,42740.6879821429
"PE 34_3",15660.504375,15248.5211732143,21395.8974232143,10821.5161821429,19054.5808375,21115.1249267857,15837.7024571429,22098.1082571429
"PE 32_0",1208.25424607143,2409.38093892857,4972.19124428571,1958.08991857143,1801.38623892857,7149.45778035714,2623.71107660714,9064.79783035714
"PE 36_0",3176.56450892857,6413.77860446429,6769.99999642857,6295.60251607143,4440.50417821429,6074.70763767857,2524.25251839286,1801.38623892857
"PE 34_1",27516.2858410714,30024.804525,64172.3337857143,25515.7566642857,46570.3652142857,33549.8261214286,47588.3137857143,40740.1316785714
"plasmenyl-PE 40_6",257841.348571429,230115.201964286,290126.623517857,329361.089857143,311979.460892857,290126.623517857,311979.460892857,311979.460892857
"plasmenyl-PE 38_3",92328.8735892857,100478.048964286,122175.508571429,123774.517142857,99141.5412678571,122175.508571429,107961.024285714,169170.56625
"plasmenyl-PE 38_1",13867.7270535714,22344.0875178571,29256.8306071429,28495.2293321429,23535.6674,18324.2519410714,24878.3242321429,37210.6875
"plasmenyl-PE 36_3",42740.6879821429,36743.522125,56548.0280714286,53084.9719464286,47588.3137857143,55107.5350232143,53603.7779642857,60928.3265178571
"plasmenyl-PE 38_6",316463.574178571,353551.866446429,372047.992285714,459518.717321429,372047.992285714,348602.556071429,450520.603928571,508610.486392857
"plasmenyl-PE 38_5",103280.380357143,180852.8255,193773.984285714,184039.758214286,201258.031607143,187151.798392857,184039.758214286,230115.201964286
"plasmenyl-PE 42_5",34346.9940660714,63343.01875,39672.23125,55809.6597678571,49856.8851607143,58039.6899285714,40740.1316785714,39672.23125
"plasmenyl-PE 42_6",33549.8261214286,32697.9834678571,33163.5863571429,31521.0185357143,41788.9912446429,60032.3102321429,50560.2420107143,39180.905925
"plasmenyl-PE 40_5",193773.984285714,205717.823821429,243308.448035714,281397.249821429,193773.984285714,233684.990357143,247227.189464286,266987.788392857
"plasmenyl-PE 36_1",47588.3137857143,65810.4067678571,161801.384107143,83724.0643392857,69235.555,116331.312910714,119141.037589286,125566.644553571
"plasmenyl-PE 38_2",201258.031607143,220961.976607143,233684.990357143,252427.242857143,220961.976607143,238608.613928571,266987.788392857,281397.249821429
"plasmenyl-PE 36_4",79587.1851607143,127190.990535714,143734.935357143,143734.935357143,130993.285892857,153655.769107143,116331.312910714,132752.419464286
"plasmenyl-PE 36_2",39672.23125,19707.9837678571,42270.1891785714,30828.0614821429,27166.2703839286,38222.1059642857,56548.0280714286,72407.9940714286
"plasmenyl-PE 38_4",101877.901339286,111261.935339286,97910.0930892857,129249.328392857,132752.419464286,166881.198089286,137903.137857143,193773.984285714
"plasmenyl-PE 34_1",16758.3396607143,11835.7087017857,20896.0796607143,17205.0590267857,18849.0058946429,13160.214875,20184.7195535714,27166.2703839286
"plasmenyl-PE 34_2",26496.8920107143,26496.8920107143,55809.6597678571,38222.1059642857,38739.4274821429,36743.522125,48140.8671607143,46053.4322303571
"plasmenyl-PE 40_1",2301.18930267857,656.942895535714,4347.66305482143,1429.82686803571,1208.25424607143,6295.60251607143,3367.97632982143,3904.26020160714
"SM 34_1",3981165.63392857,4262567.43214286,3646891.38928571,4720640.14285714,5107607.39642857,4720640.14285714,4262567.43214286,5549056.43392857
"SM 42_2",150075.023571429,208476.134642857,220961.976607143,290126.623517857,238608.613928571,220961.976607143,177587.820892857,174443.509642857
"SM 36_1",443034.381428571,583411.744732143,571729.962142857,638831.869375,613608.007821429,496519.185875,496519.185875,626634.444821429
"SM 32_1",137903.137857143,132752.419464286,95086.8434821429,171733.162857143,146110.468035714,109734.807660714,84781.2899285714,143734.935357143
"SM 40_1",1662327.25089286,2057660.45535714,5107607.39642857,2194597.62678571,3404619.23928571,3646891.38928571,3404619.23928571,3646891.38928571
"SM 34_2",106251.872142857,123774.517142857,109734.807660714,136258.970214286,114718.668821429,120778.945660714,122175.508571429,171733.162857143
"SM 42_1",518741.019642857,599307.431678572,847475.440892857,657027.033392857,583411.744732143,599307.431678572,679997.608267857,788580.424071429
"SM 42_4",51863.2385178571,75446.9514642857,62397.9615714286,95879.7814910714,60032.3102321429,50208.5635857143,58039.6899285714,58590.797375
"SM 40_2",21395.8974232143,54373.6077857143,52560.8878035714,41284.5769428571,51863.2385178571,51863.2385178571,33549.8261214286,23786.4344803571
"SM 38_2",96672.7195,148082.963214286,146110.468035714,157757.314821429,129249.328392857,141663.135,103280.380357143,127190.990535714
"SM 38_0",33964.91875,20701.8814285714,31521.0185357143,22344.0875178571,18324.2519410714,20896.0796607143,22996.4870714286,21658.0276339286
"SM 42_5",127190.990535714,174443.509642857,27166.2703839286,257841.348571429,47138.1425892857,30024.804525,29604.2187464286,38739.4274821429
"SM 32_2",15000.8127196429,16758.3396607143,8321.50644589286,15248.5211732143,33964.91875,11187.2991785714,8062.34949107143,18324.2519410714
"SM 36_0",45353.4926071429,32263.4358392857,44400.4986964286,48140.8671607143,26171.2539482143,31521.0185357143,30024.804525,41788.9912446429
"SM 34_0",266987.788392857,263002.767857143,322976.941964286,359016.831160714,300330.617678571,295686.620535714,238608.613928571,295686.620535714
"SM 38_1",285347.296428571,266987.788392857,381549.305160714,306250.888214286,295686.620535714,243308.448035714,281397.249821429,316463.574178571
"SM 40_4",13696.6282857143,14590.6986964286,13482.9624910714,14251.4973392857,8709.31950178571,12054.161475,10296.9797839286,6769.99999642857
"SM 36_2",466485.172642857,554847.643767857,729938.209285714,994300.145714286,708525.935696429,527834.730946428,485844.163392857,571729.962142857
"SM 32_0",5083.32325839286,6646.52262571429,2853.8806975,9198.65279285714,9366.42718928572,6769.99999642857,7149.45778035714,7560.55331428571
"SM 30_1",4565.76887392857,4565.76887392857,2962.86339982143,4347.66305482143,3286.37972392857,2301.18930267857,1208.25424607143,2738.26377142857
"TG 52_3",496519.185875,788580.424071429,919618.595714286,554847.643767857,788580.424071429,847475.440892857,657027.033392857,599307.431678572
"TG 54_3",3404619.23928571,1830197.00892857,2057660.45535714,1211694.65464286,1750917.09642857,1479117.02589286,2524491.27857143,1082003.45821429
"TG 50_2",125566.644553571,155129.416142857,157757.314821429,89732.2299821428,190104.917589286,164340.867678571,132752.419464286,136258.970214286
"TG 52_2",10316561.6160714,5549056.43392857,5549056.43392857,2524491.27857143,3981165.63392857,3147640.32142857,9353458.89285714,3981165.63392857
"TG 58_11",342575.355107143,122175.508571429,72407.9940714286,130993.285892857,96672.7195,107961.024285714,130993.285892857,112896.958089286
