"Lipid","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"lysoPC 22_4",48807.5821428571,84414.4910535714,59633.1933982143,65292.6203571429,98095.1422857143,65292.6203571429,40242.4034642857,52724.8140535714
"lysoPC 18_3",8372.5780875,19857.4815,12103.1438910714,5934.35367571429,13253.6211178571,12888.5737714286,10487.4956032143,10837.8805821429
"lysoPC 20_1",20710.3070089286,29412.6768946429,23447.1221107143,29788.2748598214,25693.2209267857,15563.22674375,11110.9091625,23447.1221107143
"lysoPC 16_0",24825.9185928571,41435.4854071429,17936.5455178571,27642.1983946429,7050.54476,12732.5940125,21607.3120732143,18943.2163214286
"lysoPC 22_5",14161.2389589286,12525.6698714286,7497.03831660714,6315.46978571429,13098.9696714286,5088.60001303571,6922.36611035714,3260.58485017857
"lysoPC 26_1",2946.67659517857,6180.84948053571,5167.27360178571,6180.84948053571,5398.0321,2072.90318839286,3149.46716821429,4099.36693267857
"lysoPC 22_2",4099.36693267857,7347.25012964286,4314.71070089286,7990.22304464286,14944.7673089286,6439.62519160714,8125.48476017857,8648.21050196429
"lysoPC 22_0",6798.03111785714,5724.02211196429,5631.42895357143,6439.62519160714,6078.22740089286,5844.98421946429,6180.84948053571,6180.84948053571
"lysoPC 14_0",4314.71070089286,3359.53925410714,1932.36239017857,3579.30554910714,984.342505357143,2946.67659517857,3456.08772910714,2502.46226125
"lysoPE 20_0",5398.0321,5844.98421946429,7597.96034285714,7701.63170017857,7990.22304464286,4665.46998178571,5270.37840482143,7186.05634642857
"lysoPE 22_5",25881.2709928571,48807.5821428571,45819.6608571429,33679.5103964286,24489.6108803571,20152.4907142857,32236.8801964286,40865.2268607143
"lysoPE 20_3",17936.5455178571,33258.4630142857,28012.4682160714,15673.4276482143,12103.1438910714,17936.5455178571,15215.9790660714,17724.6697839286
"lysoPE 20_4",8816.23721785714,9464.67715821428,8816.23721785714,11020.5853321429,11700.2718053571,3990.92321571429,12732.5940125,5167.27360178571
"lysoPE 20_5",2726.94451017857,3990.92321571429,4665.46998178571,7839.17797125,3880.28439107143,3786.05885392857,3260.58485017857,5844.98421946429
"lysoPE 22_6",13955.8465,14944.7673089286,13098.9696714286,22098.5183035714,8648.21050196429,8648.21050196429,11919.7666446429,10294.1983232143
"lysoPE 20_1",4981.35488607143,5398.0321,4981.35488607143,6078.22740089286,7701.63170017857,7050.54476,6078.22740089286,7050.54476
"lysoPE 18_3",2502.46226125,2946.67659517857,1195.77037946429,3149.46716821429,3786.05885392857,2181.38010482143,4099.36693267857,1195.77037946429
"MG 18_2",1772.08722303571,4665.46998178571,6078.22740089286,4758.78730589286,6798.03111785714,6315.46978571429,20815.1330178571,4314.71070089286
"MG 18_1",9295.57433928571,13253.6211178571,13253.6211178571,11201.2329928571,7347.25012964286,7347.25012964286,29619.9902357143,12103.1438910714
"PC 36_1",10375737.5071429,10375737.5071429,10375737.5071429,10375737.5071429,10375737.5071429,10375737.5071429,10375737.5071429,10375737.5071429
"PC 36_6",91582.2723821429,139107.900982143,109260.486,152912.219,152912.219,167816.821428571,157279.283625,127822.838035714
"PC 40_3",218579.666142857,346000.597321429,234177.565178571,167816.821428571,167816.821428571,180820.683571429,202271.0279625,218579.666142857
