"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"PC 42_11",32319.1975117992,21281.716105718,26507.7173171222,35147.1963522091,33158.4929006148,35341.5189546025,43516.6518434638,10335.0614774214
"PC 38_3",3581928.81366308,3471770.91700051,3581928.81366308,4152883.96004135,2596807.49799822,3127646.13736274,4548799.77765387,3241192.62060232
"PC 32_3",69075.0141810134,42289.2103262086,73961.3872605396,53942.0594615606,47727.9679118561,83607.4237730397,70028.1124047034,21281.716105718
"PC 42_2",27988.8581754784,12960.1580578633,17063.1665377589,16254.5599799933,12774.047051995,18173.1943736526,21000.2609012931,14129.1047476765
"PC 36_5",81047.2777540216,112611.025065258,104241.280521005,104241.280521005,101195.44502001,89054.874745338,87403.209724609,15759.6582710285
"PC 44_4",19402.2718164687,15441.3314525348,13968.6818038262,13681.1088522039,20132.9424723763,15185.1170197429,13510.288389398,16650.4609520606
"PC 40_3",169004.920664712,151525.528020157,138838.766552366,154467.700290747,115924.669786895,167284.443858467,182013.062898843,98929.1672032851
"PC 40_10",18812.488512923,17227.026328746,14852.7118496099,18281.2092683311,18173.1943736526,18050.1628732226,20649.6422341141,21716.9374580112
"PC 42_10",606113.21030197,428208.362204687,269054.501519072,517475.075117045,528928.358604734,647113.793806319,559311.052346091,169004.920664712
"PC 36_0",53942.0594615606,41371.2783282,40164.9571390481,52956.3951662452,41040.9749646158,52125.4570300496,25295.5130480684,20472.7100910555
"PC 42_8",14544.4548822239,18653.8622896869,16650.4609520606,21891.214775356,16254.5599799933,17063.1665377589,19842.3013124,18653.8622896869
"PC 42_3",20132.9424723763,17914.6728062189,16742.6095476278,14696.9302536588,13681.1088522039,14996.1771760577,21281.716105718,20786.3918220843
"PC 38_2",1344746.17238693,1034506.77533707,1094226.2079901,1220538.32809233,1070383.96283891,1344746.17238693,1772184.27558777,647113.793806319
