"Sample","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"PE 36_2",220961.976607143,220961.976607143,159336.401428571,197317.689285714,276026.942321429,329361.089857143,381549.305160714,322976.941964286
"PE 32_0",3698.57423714286,4440.50417821429,1801.38623892857,1958.08991857143,1958.08991857143,1429.82686803571,1958.08991857143,1429.82686803571
"PE 39_6",12820.3079732143,12820.3079732143,13867.7270535714,6894.08267107143,7149.45778035714,12646.7265160714,13160.214875,14429.5051482143
"PE 36_0",7560.55331428571,6074.70763767857,3481.14064946429,4347.66305482143,2301.18930267857,8453.61662321429,2962.86339982143,4347.66305482143
"PE 37_4",12646.7265160714,4565.76887392857,10660.3970267857,10147.4543035714,9064.79783035714,10296.9797839286,12646.7265160714,9366.42718928572
"plasmenyl-PE 40_6",311979.460892857,329361.089857143,311979.460892857,335816.517321429,285347.296428571,271658.989642857,271658.989642857,365996.245535714
"plasmenyl-PE 38_6",450520.603928571,407758.431857143,386893.902142857,401213.237982143,386893.902142857,386893.902142857,401213.237982143,496519.185875
"plasmenyl-PE 42_6",45353.4926071429,40740.1316785714,41284.5769428571,53084.9719464286,76376.5748392857,57274.9927142857,54373.6077857143,71418.1367142857
"plasmenyl-PE 38_2",300330.617678571,335816.517321429,257841.348571429,295686.620535714,238608.613928571,266987.788392857,290126.623517857,348602.556071429
"plasmenyl-PE 36_4",136258.970214286,104925.049285714,85871.8150892857,112896.958089286,159336.401428571,148082.963214286,143734.935357143,151750.858928571
"plasmenyl-PE 36_2",31812.2950125,31521.0185357143,31812.2950125,42740.6879821429,48140.8671607143,46570.3652142857,47588.3137857143,66790.6490892857
